"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"384","9011","CA6309011","Sierra",25,"series","well",25,4,"e","1",4,"e","1","hill",150,TRUE,29.5038759689922,8,17,"1d",4,"e","1"
"122","9012","CA6309012","Whiterock",10,"series","somewhat excessively",15,7,"e",NA,7,"e",NA,"hill",20,FALSE,16.75,10,25,"4b",3,"s","NA"
"121","9012","CA6309012","Copperopolis",25,"series","well",15,7,"e",NA,7,"e",NA,"hill",36,FALSE,17.5555555555556,25,20,"4a",3,"e","NA"
"417","9013","CA6309013","Typic Fluvaquents",2,"family","poorly",3,5,"w",NA,5,"w",NA,"flood plain",150,FALSE,3,15,5,"7",2,"w","NA"
"388","9013","CA6309013","Ultic Haploxeralfs",2,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"387","9013","CA6309013","Typic Xerorthents",3,"taxon above family","well",60,8,NA,NA,8,NA,NA,"hill",124,FALSE,29,15,27,"2a",5,"NA","NA"
"390","9013","CA6309013","Deerflat",10,"series","well",15,4,"e","1",4,"e","1","hill",180,TRUE,21.9486484785338,15,20,"2a",3,"e","3"
"389","9013","CA6309013","Millvilla",33,"series","well",25,4,"e","3",4,"e","3","hill",66,TRUE,22.9365079365079,15,20,"2a",4,"e","8"
"418","9014","CA6309014","Fluventic Endoaquepts",2,"family","poorly",8,5,"w",NA,5,"w",NA,"flood plain",165,FALSE,6.26086956521739,15,27,"7",2,"w","NA"
"393","9014","CA6309014","Ultic Haploxeralfs",3,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"392","9014","CA6309014","Hotaw",17,"series","well",30,4,"e","3",4,"e","3","hill",56,TRUE,19.6428571428571,35,17,"2a",4,"e","8"
"391","9014","CA6309014","Musick",28,"series","well",30,6,"e",NA,6,"e",NA,"hill",150,TRUE,28.4833333333333,14,19,"2a",4,"e","NA"
